date,source,gold_usd_open,gold_usd_high,gold_usd_low,gold_usd_close,gold_usd_volume,usdinr_open,usdinr_high,usdinr_low,usdinr_close,target_gold_999,day_of_week,day_of_month,month,quarter,day_of_year,week_of_year,is_month_start,is_month_end,days_to_diwali,is_near_diwali,gold_lag_1,gold_lag_2,gold_lag_3,gold_lag_5,gold_lag_7,gold_lag_14,gold_ma_3,gold_ma_7,gold_ma_14,gold_ma_30,gold_return_1d,gold_return_3d,gold_return_7d,gold_volatility_7,gold_volatility_14,gold_volatility_30,gold_usd_return_1d,usdinr_return_1d,gold_usd_return_3d,usdinr_return_3d,gold_usd_return_7d,usdinr_return_7d,gold_usd_volatility_7,usdinr_volatility_7,gold_usd_volatility_14,usdinr_volatility_14,gold_inr_proxy
2025-11-17,IBJA,4070.0,4099.5,4019.39990234375,4068.300048828125,1552.0,88.68199920654297,88.74349975585938,88.56430053710938,88.68199920654297,122819.0,0,17,11,4,321,47,0,0,356,0,125111.0,126339.0,123637.5,122264.0,120385.0,121739.5,125029.16666666667,123150.0,121659.46428571429,122411.01666666666,-0.9719880638599299,0.7756870831588047,4.541428523680602,1.2113842747091512,1.2964560154606095,1.4090299137920053,-0.4721608857772397,-0.15098823980543852,-3.237081549729748,0.24359489701204495,2.2211650708178876,0.1412641839251494,1.7827754772880906,0.18149174897028347,1.347774020402498,0.20059699170356868,360784.9817021545
2025-11-18,IBJA,4037.39990234375,4063.39990234375,4035.60009765625,4061.300048828125,1375.0,88.63590240478516,88.69400024414062,88.53569793701172,88.63590240478516,121773.0,1,18,11,4,322,47,0,0,355,0,122819.0,125111.0,126339.0,124148.0,120165.5,118603.5,124756.33333333333,123497.71428571429,121736.57142857143,122606.35,-1.8319732077914819,-0.6620159741178799,2.021846575570052,1.5322488556420952,1.4033449430899978,1.4590474949196788,-0.17206203859069236,-0.05197988562531952,-2.9998293831986933,0.047295114712619934,1.5477358602749458,-0.04183248301771192,1.7902890680649757,0.17597299045096362,1.319374883589459,0.17026029646264573,359976.9947644789
2025-11-19,IBJA,4086.10009765625,4122.7001953125,4072.0,4077.699951171875,486.0,88.55699920654297,88.6082992553711,88.40899658203125,88.55680084228516,123666.0,2,19,11,4,323,47,0,0,354,0,121773.0,122819.0,125111.0,123637.5,122264.0,119990.0,123234.33333333333,123727.35714285714,121962.96428571429,122769.0,-0.8516597594834696,-3.614085911713727,1.337738369165864,1.5870084358492567,1.2162359849130389,1.4705475572695306,0.40380917801141614,-0.08924325285114554,-0.2421994874217681,-0.29195182945140896,-0.8293169690983149,-0.1141423135383679,1.4018461832974063,0.178831591550663,1.3188371857365173,0.1733008957563555,361108.06247052364
2025-11-20,IBJA,4045.0,4090.39990234375,4040.199951171875,4056.5,202.0,88.48729705810547,88.73829650878906,88.4635009765625,88.48719787597656,122721.0,3,20,11,4,324,47,0,0,353,0,123666.0,121773.0,122819.0,126339.0,124148.0,119436.0,122752.66666666667,123927.64285714286,122225.53571428571,122919.4,1.5545317927619484,-1.1549743827481196,1.146698946541913,1.5572519854013562,1.2440217826967215,1.4562156761224736,-0.5198997333235034,-0.07859697464969173,-0.29004863669099823,-0.21966276393105,-1.2247931985895133,-0.24789677352324846,1.4104297403211519,0.17705705812678332,1.3288659829409537,0.17239157731815097,358948.3181838989
2025-11-21,IBJA,4031.800048828125,4085.199951171875,4031.800048828125,4076.699951171875,171.0,88.69229888916016,89.72579956054688,88.60279846191406,88.69219970703125,122647.5,4,21,11,4,325,47,0,0,352,0,122721.0,123666.0,121773.0,125111.0,123637.5,120792.5,122720.0,123723.78571428571,122460.17857142857,123011.63333333333,-0.7641550628305294,-0.07979221455963748,-1.1494345458646138,1.4605891685098604,1.2593574709880249,1.4615324339014824,0.49796502334216175,0.23167400027970242,0.37918652053776647,0.06351523560848005,-3.0372931723428254,0.255125250949062,0.9489311339665869,0.16712972357783556,1.3214722036831539,0.1604413128757425,361571.4862149805
2025-11-24,IBJA,4060.5,4091.89990234375,4060.5,4091.89990234375,591.0,89.63400268554688,89.64129638671875,89.01580047607422,89.63400268554688,123182.5,0,24,11,4,328,48,0,0,349,0,122647.5,122721.0,123666.0,122819.0,126339.0,120945.0,123011.5,123582.35714285714,122592.67857142857,123034.93333333333,-0.05989195003299752,0.7181394890493076,-0.8007279344859008,1.4563850293755916,1.2313452980684603,1.4309858121000154,0.3728493966671742,1.0618780249295856,0.34823433165538376,1.2163965195402193,-2.2689818771836623,1.173895404597558,0.997273437717994,0.4256442892809164,1.3203265521797927,0.3246430517987927,366773.3668356687
2025-11-25,IBJA,4139.2001953125,4139.2001953125,4139.2001953125,4139.2001953125,132704.0,89.14779663085938,89.26200103759766,88.96649932861328,89.14779663085938,125230.5,1,25,11,4,329,48,0,0,348,0,123182.5,122647.5,122721.0,121773.0,125111.0,119676.0,122850.33333333333,123131.42857142857,122752.5,123054.36666666667,0.43620946207627576,-0.3909724580725471,-2.498436745581334,1.105713461104194,1.2343280419224667,1.42990874509018,1.155949414638835,-0.5424348351297015,2.038708130469624,0.7465472641688953,1.2623567967384286,0.3734633164806933,0.6027680104805614,0.4990778857593528,1.270794776100288,0.3628114221447738,369000.57722613215
2025-11-26,IBJA,4128.60009765625,4171.0,4127.5,4165.2001953125,25088.0,89.1532974243164,89.28790283203125,89.1532974243164,89.15059661865234,126042.5,2,26,11,4,330,48,0,0,347,0,125230.5,123182.5,122647.5,123666.0,122819.0,120385.0,123686.83333333333,123148.5,123149.25,123189.21666666666,1.6625738233921217,2.0448822939839184,0.09551518251791347,1.2933767015840223,1.2463939390889747,1.4422002778594112,0.6281406738781081,0.00314083791050912,2.170879515309565,0.5168401653530719,2.3818338205483958,0.5284019488757785,0.5447495062683744,0.49185762446252257,1.2664489316228533,0.3573589266432794,371330.08244823664
2025-11-27,IBJA,,,,,,89.1624984741211,89.40630340576172,89.13800048828125,89.16300201416016,125957.0,3,27,11,4,331,48,0,0,346,0,126042.5,125230.5,123182.5,122721.0,121773.0,120165.5,124818.5,123609.0,123553.35714285714,123258.56666666667,0.6484043423926389,2.768095558409267,2.6245939146223307,1.0098793177013639,1.2473837249022168,1.3870161475045568,,0.013915100939687619,,-0.5254709789532463,,0.5946795768692281,,0.489617710399272,,0.35664278028748264,
2025-11-28,IBJA,4163.39990234375,4223.89990234375,4140.0,4218.2998046875,3615.0,89.36489868164062,89.61869812011719,89.05500030517578,89.36479949951172,126628.5,4,28,11,4,332,48,0,0,345,0,125957.0,126042.5,125230.5,122647.5,123666.0,122264.0,125743.33333333333,124206.71428571429,123967.03571428571,123259.9,-0.06783426225280831,2.2523491567389753,3.435901226051752,0.8871818432316706,1.2440965306034812,1.3573684220247946,,0.22632423852162464,1.9109877667810693,0.24341921713544323,3.448018618319826,0.9124072341609946,,0.4853277066772856,,0.35957178383606125,376967.5162747279
